Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,11499.3,11012.6,22511.8
5/9/01,11237.6,10762.4,22000.1
10/14/01,11316.5,10746.7,22063.2
15-19,11419.7,10714.6,22134.4
20-24,11489.7,10871.1,22360.9
25-29,11509.1,10986.4,22495.6
30-34,11243.9,10845.1,22089
35-39,10834.1,10570.3,21404.5
40-44,10274.3,10130.8,20405.2
45-49,9544.2,9514.7,19058.9
50-54,8415,8450.9,16865.9
55-59,7133.3,7231.3,14364.6
60-64,5676.6,5813.7,11490.3
65-69,4183.9,4344.5,8528.4
70-74,2695.1,2920.6,5615.8
75+,2314.2,2993.5,5307.7
Jumlah/Total,140786.8,137909.4,278696.2
,,,
Catatan,,,
Hasil Proyeksi Penduduk Indonesia 2020-2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/<i>Indonesia Population Projection 2020-2050 Result of Population Census 2020 (mid year/June) </i>,,,